model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,1,64x64,32,32,985190,10,0.23293767869472504,1.736991047859192,0.25390625,1.7456035614013672,0.24899598956108093,1.7479441165924072
CNN,1,64x64,128,256,31495430,9,0.8323442339897156,0.4858640134334564,0.53515625,1.358414649963379,0.6385542154312134,1.076278805732727
CNN,1,64x64,128,64,7876550,14,0.5153313279151917,1.11038076877594,0.46484375,1.3391600847244263,0.45783132314682007,1.2819641828536987
CNN,1,64x64,128,32,3940070,5,0.23293767869472504,1.7572743892669678,0.2421875,1.7567687034606934,0.20481927692890167,1.6890257596969604
CNN,1,128x128,64,256,65031686,8,0.7903066277503967,0.6272029280662537,0.54296875,1.2860010862350464,0.5662650465965271,1.176918387413025
CNN,1,128x128,64,64,16259270,13,0.5316518545150757,1.163484811782837,0.43359375,1.398958444595337,0.41767069697380066,1.3194754123687744
CNN,1,128x128,64,32,8130534,13,0.23293767869472504,1.7309702634811401,0.234375,1.7434632778167725,0.2208835333585739,1.7514804601669312
CNN,1,128x128,32,256,32516742,10,0.781899094581604,0.6277067065238953,0.5,1.2886732816696167,0.6144578456878662,1.067559838294983
CNN,1,128x128,32,64,8129862,18,0.43818002939224243,1.345077633857727,0.41796875,1.407895803451538,0.47791165113449097,1.3715629577636719
CNN,1,128x128,32,32,4065382,12,0.23293767869472504,1.732954978942871,0.25390625,1.743554949760437,0.24899598956108093,1.7429187297821045
CNN,1,128x128,128,256,130061574,8,0.8145400881767273,0.5511403679847717,0.54296875,1.3784699440002441,0.5020080208778381,1.2240962982177734
CNN,1,128x128,128,64,32518086,5,0.3407517373561859,1.5805225372314453,0.3046875,1.6306259632110596,0.3855421543121338,1.6572805643081665
CNN,1,128x128,128,32,16260838,17,0.38822948932647705,1.3066946268081665,0.46484375,1.3688124418258667,0.4738955795764923,1.317639708518982
